YearMonth,GPR,GPRC_KOR,GSCPI,UP_수산화리튬,UP_탄산리튬,UP_흑연_기타,UP_흑연_인상,UP_희토류화합물,HHI_수산화리튬,HHI_탄산리튬,HHI_흑연_기타,HHI_흑연_인상,HHI_희토류화합물,VOL_수산화리튬,VOL_탄산리튬,VOL_흑연_기타,VOL_흑연_인상,VOL_희토류화합물,VOL_CHG_수산화리튬,VOL_CHG_탄산리튬,VOL_CHG_흑연_기타,VOL_CHG_흑연_인상,VOL_CHG_희토류화합물,Bat_Export_UnitPrice,Bat_Import_UnitPrice,PPI_리튬이온,Energy_Index,Metals_Minerals_Index,EV_Export_UnitPrice,EV_Import_Unit_Price,LOG_UP_흑연_인상,LOG_UP_흑연_기타,LOG_UP_탄산리튬,LOG_UP_희토류화합물,LOG_UP_수산화리튬,LOG_Bat_Export_UnitPrice,LOG_PPI_리튬이온,DIFF_LOG_UP_흑연_인상,DIFF_LOG_UP_흑연_기타,DIFF_LOG_UP_탄산리튬,DIFF_LOG_UP_희토류화합물,DIFF_LOG_UP_수산화리튬,DIFF_LOG_Bat_Export_UnitPrice,DIFF_LOG_PPI_리튬이온,D_graphite_shock,D_ukraine,D_covid
2015-01-01,111.99,0.12,-0.516586863,123.0,5.304347826,2.253698458,1.258513698,142.3255814,7168.352171,7076.453513,8367.911426,6998.953922,4884.072365,1.0,1138.5,317.7,1321.4,4.3,,,,,,38.52950263,64.36182199,97.36,63.749081,73.85319469,,,0.229931419920173,0.8125726258340579,1.6685268287877133,4.958117259845489,4.812184355372417,3.6514242499121328,4.578415448679272,,,,,,,,0,0,0
2015-02-01,111.92,0.12,-0.326826573,17.3480663,5.288378766,2.792534099,1.57504562,84.82142857,5080.327802,7509.417002,6926.137152,5378.617746,4341.761773,18.1,1394.0,139.3,876.8,5.6,1710.0,22.4418094,-56.15360403,-33.64613289,30.23255814,38.4499636,59.65144455,97.59,73.76619467,72.37040325,,,0.4542842369374816,1.0269494628087787,1.6655117274426576,4.440548206276696,2.8534810477320147,3.6493577492672,4.5807750291533695,0.4164707971829208,0.5311674435691833,-0.9691672052524614,-0.023579455891709,-0.5496984951499737,0.4287187189597152,-0.3297452269399095,0,0,0
2015-03-01,104.24,0.11,-0.391897764,11.32,5.430325933,2.081722805,1.94668008,140.2380952,5564.434567,8190.401406,7432.191882,4346.389736,5809.478239,25.0,1058.5,362.2,596.4,4.2,38.12154696,-24.06743185,160.0143575,-31.97992701,-25.0,37.30921508,60.21620671,98.86,71.14510518,71.77724587,,,0.6661253985592461,0.7331958225201816,1.6919991566380006,4.943341658090617,2.4265710727750367,3.619240349220292,4.593704707878813,0.4060703922232324,0.0451835319715323,-1.0450610676751182,1.0708210956738822,-0.9382586647656268,0.3371752081072414,-0.31231053708734,0,0,0
2015-04-01,102.19,0.2,-0.364367652,15.47169811,5.423195347,2.654155496,1.565750575,210.0,5009.637121,9639.431904,7027.344149,5700.45479,4511.546115,26.5,1461.5,223.8,913.3,4.2,6.0,38.07274445,-38.21093319,53.13547954,0.0,36.81858781,56.97502465,96.72,73.35885199,72.13660555,,,0.4483653096594666,0.9761265234929009,1.690685189153723,5.3471075307174685,2.73901242649886,3.606002821185644,4.571820206306537,0.4792734230419915,0.3531358565460175,-0.9329167219886214,1.514876637881096,-0.5859379448464774,0.3807577252573759,-0.3341950386596162,0,0,0
2015-05-01,76.26,0.13,-0.55630285,12.88235294,5.329624709,2.319461444,1.321804001,129.7959184,5158.566335,9547.419215,5894.347714,6722.309082,4362.811993,17.0,1204.4,163.4,1474.5,4.9,-35.8490566,-17.59151557,-26.98838248,61.44749808,16.66666667,36.05374437,54.74036851,96.72,79.25739761,74.63688614,,,0.2789974709826044,0.8413350225235423,1.6732808246293591,4.865963358475113,2.5558583856689605,3.585010724356674,4.571820206306537,0.0381152907560871,0.2320788333332442,-0.7896321399973321,1.4052907575811724,-0.7275559604618116,0.2129044689035488,-0.3341950386596162,0,0,0
2015-06-01,85.91,0.15,-0.875712447,9.927184466,5.585876199,2.413793103,1.381815666,79.66292135,6567.452371,8949.932556,6283.755102,6195.575286,3827.894828,41.2,1147.0,145.0,1445.2,8.9,142.3529412,-4.765858519,-11.26070991,-1.987114276,81.63265306,36.15950765,51.88341602,98.55,76.68485816,70.31336858,,,0.323398334394308,0.8811994118771708,1.720241304549139,4.37780424981519,2.295276899685365,3.5879399195573853,4.590564033598729,-0.1107793008134823,0.3808817656363557,-0.5094185485721492,-0.3554135705668546,-1.0289594409206615,0.2410658757753796,-0.2476208234988348,0,0,0
2015-07-01,106.81,0.11,-0.418396039,10.45180723,5.512844671,2.624184646,1.353786219,76.05263158,6103.281316,9646.696405,8176.866073,6612.141941,5345.781301,33.2,1592.1,199.3,1232.1,7.6,-19.41747573,38.80557977,37.44827586,-14.74536396,-14.60674157,35.57088139,52.58954501,98.55,69.97397857,65.74767693,,,0.3029052735458033,0.964770236746365,1.70708076416981,4.331425621393933,2.346774904128163,3.5715273646806387,4.590564033598729,0.0589290005667968,0.3163130828444324,-0.900959447571227,-0.5513763011924375,-1.0166821495896068,0.3000324327430643,-0.2476208234988348,0,0,0
2015-08-01,82.48,0.13,-0.689223074,12.95719844,5.516668717,2.545668827,1.460602178,136.0465116,5083.37166,9005.455555,4861.432613,5400.219298,4254.306377,25.7,1625.8,169.7,936.6,4.3,-22.59036145,2.116701212,-14.85198194,-23.9834429,-43.42105263,35.87947391,57.06682537,98.55,60.2653079,62.65317939,,,0.3788488013707737,0.934393415869439,1.7077741848165249,4.912996824327212,2.5616514978029934,3.580165374597036,4.590564033598729,0.1509960015938015,0.4538862684603187,-0.6498741231760679,0.033796655274739,-0.8395458838591621,0.3654762091695525,-0.2476208234988348,0,0,0
2015-09-01,98.77,0.12,-0.404294847,110.0,5.672477324,2.395727365,1.262586675,51.64893617,7024.793388,8868.004187,8516.685374,6042.228261,4877.333506,0.1,1411.2,196.6,1658.5,18.8,-99.61089494,-13.19965555,15.85150265,77.07666026,337.2093023,35.57634118,50.97215103,105.26,60.309279,63.4023901,,,0.2331625332761831,0.8736868862163027,1.7356259401319172,3.944469598451302,4.700480365792417,3.57168084333556,4.656433479925633,-0.1228012234288493,0.2813322365720528,-0.6125609749044554,-0.0078456444966348,-1.712978591374941,0.3276411705843181,-0.1817513771719303,0,0,0
2015-10-01,91.93,0.06,-0.250543527,86.25,5.721661401,2.373853211,1.194283104,137.8787879,9574.669187,9617.286037,8704.828584,5385.445967,4925.564545,1.6,1297.7,436.0,1532.3,6.6,1500.0,-8.042800454,121.7700916,-7.609285499,-64.89361702,35.93735526,51.91699605,102.02,60.50797016,62.2166566,,,0.1775460923929753,0.8645144623465705,1.7442592179381802,4.926374950632362,4.457250055911469,3.5817772910016323,4.625168872494781,-0.1285320023734013,0.5787452672787219,-0.5661080154979203,0.6192219849524525,-1.956208901255888,0.3529619737548413,-0.2130159846027828,0,0,0
